Name of Restaurants,City,Country Code,Day of Week,Start time(hour),Start time(mins),End time(hour),End time(mins)
Aero Cafe & Bar,Sydney,AU,5,10,0,23,0
,,,,,,,
Aero Cafe & Bar,Sydney,AU,6,10,0,22,0
,,,,,,,
Affogato,Melbourne,AU,0,7,0,15,30
,,,,,,,
Affogato,Melbourne,AU,2,7,0,15,30
,,,,,,,
Affogato,Melbourne,AU,3,7,0,15,30
,,,,,,,
Affogato,Melbourne,AU,4,7,0,15,30
,,,,,,,
Affogato,Melbourne,AU,5,7,30,16,0
,,,,,,,
Affogato,Melbourne,AU,6,7,30,16,0
,,,,,,,
Aisuru Sushi,Perth,AU,0,12,0,14,30
,,,,,,,
Aisuru Sushi,Perth,AU,0,18,0,21,30
,,,,,,,
Aisuru Sushi,Perth,AU,1,12,0,14,30
,,,,,,,
Aisuru Sushi,Perth,AU,1,18,0,21,30
,,,,,,,
Aisuru Sushi,Perth,AU,2,12,0,14,30
,,,,,,,
Aisuru Sushi,Perth,AU,2,18,0,21,30
,,,,,,,
Aisuru Sushi,Perth,AU,3,12,0,14,30
,,,,,,,
Aisuru Sushi,Perth,AU,3,18,0,21,30
,,,,,,,
Aisuru Sushi,Perth,AU,4,12,0,14,30
,,,,,,,
Aisuru Sushi,Perth,AU,4,18,0,22,0
,,,,,,,
Aisuru Sushi,Perth,AU,5,12,0,15,0
,,,,,,,
Aisuru Sushi,Perth,AU,5,18,0,22,0
,,,,,,,
Aisuru Sushi,Perth,AU,6,12,0,15,0
,,,,,,,
Aisuru Sushi,Perth,AU,6,18,0,21,30
,,,,,,,
Aix Café Creperie Salon,Melbourne,AU,0,6,0,17,0
,,,,,,,
Aix Café Creperie Salon,Melbourne,AU,1,6,0,17,0
,,,,,,,
Aix Café Creperie Salon,Melbourne,AU,2,6,0,17,0
,,,,,,,
Aix Café Creperie Salon,Melbourne,AU,3,6,0,17,0
,,,,,,,
Aix Café Creperie Salon,Melbourne,AU,4,6,0,17,0
,,,,,,,
Aix Café Creperie Salon,Melbourne,AU,5,6,0,17,0
,,,,,,,
Aix Café Creperie Salon,Melbourne,AU,6,8,0,16,0
,,,,,,,
AJ Vietnamese Noodle House,Brisbane,AU,0,11,0,21,0
,,,,,,,
AJ Vietnamese Noodle House,Brisbane,AU,1,11,0,21,0
,,,,,,,
AJ Vietnamese Noodle House,Brisbane,AU,2,11,0,21,0
,,,,,,,
AJ Vietnamese Noodle House,Brisbane,AU,3,11,0,21,0
,,,,,,,
AJ Vietnamese Noodle House,Brisbane,AU,4,11,0,21,0
,,,,,,,
AJ Vietnamese Noodle House,Brisbane,AU,5,11,0,21,0
,,,,,,,
Ajisen Ramen,Melbourne,AU,0,11,30,21,0
,,,,,,,
Ajisen Ramen,Melbourne,AU,1,11,30,21,0
,,,,,,,
Ajisen Ramen,Melbourne,AU,2,11,30,21,0
,,,,,,,
Ajisen Ramen,Melbourne,AU,3,11,30,21,0
,,,,,,,
Ajisen Ramen,Melbourne,AU,4,11,30,22,0
,,,,,,,
Ajisen Ramen,Melbourne,AU,5,11,30,21,30
,,,,,,,
Ajisen Ramen,Melbourne,AU,6,11,30,21,0
,,,,,,,
Ajisen Ramen,Melbourne,AU,0,12,0,21,30
,,,,,,,
Ajisen Ramen,Melbourne,AU,1,12,0,21,30
,,,,,,,
Ajisen Ramen,Melbourne,AU,2,12,0,21,30
,,,,,,,
Ajisen Ramen,Melbourne,AU,3,12,0,21,30
,,,,,,,
Ajisen Ramen,Melbourne,AU,4,12,0,22,30
,,,,,,,
Ajisen Ramen,Melbourne,AU,5,12,0,21,30
,,,,,,,
Ajisen Ramen,Melbourne,AU,6,12,0,21,30
,,,,,,,
Akaneya Japanese Restaurant,Sydney,AU,0,11,30,21,0
,,,,,,,
Akaneya Japanese Restaurant,Sydney,AU,1,11,30,21,0
,,,,,,,
Akaneya Japanese Restaurant,Sydney,AU,2,11,30,21,0
,,,,,,,
Akaneya Japanese Restaurant,Sydney,AU,3,11,30,21,0
,,,,,,,
Akaneya Japanese Restaurant,Sydney,AU,4,11,30,21,0
,,,,,,,
Akaneya Japanese Restaurant,Sydney,AU,5,17,30,21,0
,,,,,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,0,12,0,15,0
,,,,,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,0,18,0,22,0
,,,,,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,1,12,0,15,0
,,,,,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,1,18,0,22,0
,,,,,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,2,12,0,15,0
,,,,,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,2,18,0,22,0
,,,,,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,3,12,0,15,0
,,,,,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,3,18,0,22,0
,,,,,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,4,12,0,15,0
,,,,,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,4,18,0,22,0
,,,,,,,
Alfredo Authentic Italian Restaurant,Sydney,AU,5,18,0,22,0
,,,,,,,
Alfred's Pizzeria,Perth,AU,0,15,0,0,0
,,,,,,,
Alfred's Pizzeria,Perth,AU,1,15,0,0,0
,,,,,,,
Alfred's Pizzeria,Perth,AU,2,15,0,0,0
,,,,,,,
Alfred's Pizzeria,Perth,AU,3,15,0,0,0
,,,,,,,
Alfred's Pizzeria,Perth,AU,4,15,0,0,0
,,,,,,,
Alfred's Pizzeria,Perth,AU,5,15,0,0,0
,,,,,,,
Alfred's Pizzeria,Perth,AU,6,15,0,0,0
,,,,,,,
Alice's Makan,Sydney,AU,0,9,30,19,0
,,,,,,,
Alice's Makan,Sydney,AU,1,9,30,19,0
,,,,,,,
Alice's Makan,Sydney,AU,2,9,30,19,0
,,,,,,,
Alice's Makan,Sydney,AU,3,9,30,19,0
,,,,,,,
Alice's Makan,Sydney,AU,4,9,30,19,0
,,,,,,,
Aliment,Perth,AU,0,7,0,15,30
,,,,,,,
Aliment,Perth,AU,1,7,0,15,30
,,,,,,,
Aliment,Perth,AU,2,7,0,15,30
,,,,,,,
Aliment,Perth,AU,3,7,0,15,30
,,,,,,,
Aliment,Perth,AU,4,7,0,15,30
,,,,,,,
Aliment,Perth,AU,5,7,0,14,0
,,,,,,,
Aliment,Perth,AU,6,8,0,13,0
,,,,,,,
Alpha Gourmet Cafe,Sydney,AU,0,5,30,17,30
,,,,,,,
Alpha Gourmet Cafe,Sydney,AU,1,5,30,17,30
,,,,,,,
Alpha Gourmet Cafe,Sydney,AU,2,5,30,17,30
,,,,,,,
Alpha Gourmet Cafe,Sydney,AU,3,5,30,17,30
,,,,,,,
Alpha Gourmet Cafe,Sydney,AU,4,5,30,17,30
,,,,,,,
Alpha Gourmet Cafe,Sydney,AU,5,6,0,14,30
,,,,,,,
Alpha Gourmet Cafe,Sydney,AU,6,6,0,6,30
,,,,,,,
Alpha Restaurant,Sydney,AU,0,7,30,10,30
,,,,,,,
Alpha Restaurant,Sydney,AU,0,12,0,23,0
,,,,,,,
Alpha Restaurant,Sydney,AU,1,7,30,10,30
,,,,,,,
Alpha Restaurant,Sydney,AU,1,12,0,23,0
,,,,,,,
Alpha Restaurant,Sydney,AU,2,7,30,10,30
,,,,,,,
Alpha Restaurant,Sydney,AU,2,12,0,23,0
,,,,,,,
Alpha Restaurant,Sydney,AU,3,7,30,10,30
,,,,,,,
Alpha Restaurant,Sydney,AU,3,12,0,23,0
,,,,,,,
Alpha Restaurant,Sydney,AU,4,7,30,10,30
,,,,,,,
Alpha Restaurant,Sydney,AU,4,12,0,23,0
,,,,,,,
Alpha Restaurant,Sydney,AU,5,12,0,23,0
,,,,,,,
Alpha Restaurant,Sydney,AU,6,12,0,23,0
,,,,,,,
Alto's Kebab House,Perth,AU,0,18,0,2,0
,,,,,,,
Alto's Kebab House,Perth,AU,1,18,0,2,0
,,,,,,,
Alto's Kebab House,Perth,AU,2,18,0,2,0
,,,,,,,
Alto's Kebab House,Perth,AU,3,18,0,2,0
,,,,,,,
Alto's Kebab House,Perth,AU,4,18,0,4,0
,,,,,,,
Alto's Kebab House,Perth,AU,5,18,0,4,0
,,,,,,,
Alto's Kebab House,Perth,AU,6,18,0,2,0
,,,,,,,
Ambar,Sydney,AU,0,7,0,20,0
,,,,,,,
Ambar,Sydney,AU,1,7,0,20,0
,,,,,,,
Ambar,Sydney,AU,2,7,0,20,0
,,,,,,,
Ambar,Sydney,AU,3,7,0,23,0
,,,,,,,
Ambar,Sydney,AU,4,7,0,23,0
,,,,,,,
Amigos,Melbourne,AU,0,11,30,23,0
,,,,,,,
Amigos,Melbourne,AU,1,11,30,23,0
,,,,,,,
Amigos,Melbourne,AU,2,11,30,23,0
,,,,,,,
Amigos,Melbourne,AU,3,11,30,23,0
,,,,,,,
Amigos,Melbourne,AU,4,11,30,23,0
,,,,,,,
Amigos,Melbourne,AU,5,11,30,23,0
,,,,,,,
Amigos,Melbourne,AU,6,11,30,23,0
,,,,,,,
Angel Cafe Bar-Licensed,Sydney,AU,0,6,0,17,0
,,,,,,,
Angel Cafe Bar-Licensed,Sydney,AU,1,6,0,17,0
,,,,,,,
Angel Cafe Bar-Licensed,Sydney,AU,2,6,0,17,0
,,,,,,,
Angel Cafe Bar-Licensed,Sydney,AU,3,6,0,17,0
,,,,,,,
Angel Cafe Bar-Licensed,Sydney,AU,4,6,0,17,0
,,,,,,,
Angel Falls Grill,Perth,AU,0,7,0,22,0
,,,,,,,
Angel Falls Grill,Perth,AU,1,7,0,22,0
,,,,,,,
Angel Falls Grill,Perth,AU,2,7,0,22,0
,,,,,,,
Angel Falls Grill,Perth,AU,3,7,0,23,0
,,,,,,,
Angel Falls Grill,Perth,AU,4,7,0,23,0
,,,,,,,
Angel Falls Grill,Perth,AU,5,8,0,23,0
,,,,,,,
Angel Falls Grill,Perth,AU,6,9,0,22,0
,,,,,,,
Ants Bistro,Melbourne,AU,1,11,30,15,0
,,,,,,,
Ants Bistro,Melbourne,AU,1,17,30,22,30
,,,,,,,
Ants Bistro,Melbourne,AU,2,11,30,15,0
,,,,,,,
Ants Bistro,Melbourne,AU,2,17,30,22,30
,,,,,,,
Ants Bistro,Melbourne,AU,3,11,30,15,0
,,,,,,,
Ants Bistro,Melbourne,AU,3,17,30,22,30
,,,,,,,
Ants Bistro,Melbourne,AU,4,11,30,15,0
,,,,,,,
Ants Bistro,Melbourne,AU,4,17,30,22,30
,,,,,,,
Ants Bistro,Melbourne,AU,5,17,30,22,30
,,,,,,,
Ants Bistro,Melbourne,AU,6,11,30,15,0
,,,,,,,
Ants Bistro,Melbourne,AU,6,17,30,22,30
,,,,,,,
Appetito,The Rocks,AU,0,11,0,23,0
,,,,,,,
Appetito,The Rocks,AU,1,11,0,23,0
,,,,,,,
Appetito,The Rocks,AU,2,11,0,23,0
,,,,,,,
Appetito,The Rocks,AU,3,11,0,23,0
,,,,,,,
Appetito,The Rocks,AU,4,11,0,23,0
,,,,,,,
Appetito,The Rocks,AU,5,11,0,23,0
,,,,,,,
Appetito,The Rocks,AU,6,11,0,23,0
,,,,,,,
Aqua Bar,Perth,AU,3,16,0,22,0
,,,,,,,
Aqua Bar,Perth,AU,4,12,0,0,0
,,,,,,,
Aqua Bar,Perth,AU,5,12,0,0,0
,,,,,,,
Aqua Bar,Perth,AU,6,12,0,22,0
,,,,,,,
Archie's @ Belconnen,Canberra,AU,0,12,0,21,30
,,,,,,,
Archie's @ Belconnen,Canberra,AU,1,12,0,21,30
,,,,,,,
Archie's @ Belconnen,Canberra,AU,2,12,0,21,30
,,,,,,,
Archie's @ Belconnen,Canberra,AU,3,12,0,21,30
,,,,,,,
Archie's @ Belconnen,Canberra,AU,4,12,0,21,30
,,,,,,,
Archie's @ Belconnen,Canberra,AU,5,12,0,21,30
,,,,,,,
Archie's @ Belconnen,Canberra,AU,6,12,0,21,30
,,,,,,,
Architects and Heroes,Subiaco,AU,0,6,30,18,30
,,,,,,,
